name,sub_type_label,sub_type_extra,sub_type,category,line_name,place_id,completion_year,type,city,district,public_type,curriculum_offered,latitude,longitude
INCEIF - International Centre for Education in Islamic Finance,Tertiary,None,tertiary,education,None,,None,Private University,None,None,None,None,3.119576,101.648201
Sekolah Kebangsaan Sri Petaling,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.109209,101.63982299999999
MAHSA Prima International College,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.118509,101.648537
Sekolah Kebangsaan Bandar Utama Damansara (4),Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.151993,101.61121700000001
MAZ International School - PJ Campus,Primary Secondary Preschool Pre-university,None,primary,education,None,,None,International School,None,None,None,British,3.1041090000000002,101.62576
Sekolah Menengah Kebangsaan (L) Bukit Bintang,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.1084509999999996,101.640969
Klinik Desa Damansara,Clinic,None,clinic,healthcare,None,,None,Government,Petaling Jaya,Petaling,None,None,3.1289,101.63158
Hospital Pakar Damansara (Damansara Specialist Hospital),Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.1373783,101.62754190000001
Columbia Hospital Petaling Jaya,Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.118292,101.637414
Pusat Pakar Ortopedik Quill Orthopedic Specialist Centre,Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.1525534,101.6203102
Taman Tun Dr Ismail (Ttdi),MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.135971,101.630782
Kayu Ara @ Damansara Utama,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.135215,101.616997
Bandar Utama,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.144215,101.6193308
Phileo Damansara,MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.12915,101.64285799999999
Bandar Utama,MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.1466540000000003,101.618652
Bu11 @ Tropicana,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.133365,101.606185
Taman Bahagia,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,1998,None,None,None,None,None,3.11079,101.61285600000001
Taman Paramount,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,1998,None,None,None,None,None,3.104563,101.623132
Portman College,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.025368,101.717004
Universiti Putra Malaysia (Upm),Tertiary,['Public University'],tertiary,education,None,,None,Public University,None,None,['Public University'],None,3.021998,101.705541
Sekolah Kebangsaan Sri Serdang,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.013461,101.71819
Sekolah Jenis Kebangsaan (Cina) Kung Man,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.015323,101.720713
Sekolah Menengah Kebangsaan Seri Indah,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.012343,101.716216
Sekolah Jenis Kebangsaan (Cina) Serdang Baru (2),Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.012936,101.70935
Australian International School Malaysia (AISM),Primary Secondary Early years,None,primary,education,None,,None,International School,None,None,None,Australian,3.0205,101.7234
Sekolah Kebangsaan Taman Sungai Besi Indah,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.026011,101.722598
Brainy Bunch - Sri Serdang,Elementary High Kindergarten,None,elementary,education,None,,None,Preschool,None,None,None,Montessori,3.008343,101.714735
Sekolah Jenis Kebangsaan (Cina) Serdang Baru (1),Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.0254529999999997,101.700773
Sekolah Menengah Kebangsaan Seri Serdang,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.006869,101.714203
Sekolah Menengah Kebangsaan Desa Serdang,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.010447438,101.727678
Sekolah Menengah Kebangsaan Seri Kembangan,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.027883,101.69773599999999
Putra Business School,Tertiary,None,tertiary,education,None,,None,Private University,None,None,None,None,3.002189,101.70665
Sekolah Jenis Kebangsaan (Tamil) F E S Serdang,Primary,['Jenis Kebangsaan (T)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (T)'],None,2.999458,101.701128
Sekolah Kebangsaan Serdang,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,2.998783,101.70073000000001
Serdang,KTM Komuter,None,ktm komuter,transportation,KTM Seremban Line,,1995,None,None,None,None,None,3.0230556,101.7158333
Seri Kembangan,MRT,None,mrt,transportation,MRT Sungai Buloh-Serdang-Putrajaya Line,,2022,None,None,None,None,None,3.02203,101.708952
Serdang Raya North,MRT,None,mrt,transportation,MRT Sungai Buloh-Serdang-Putrajaya Line,,2022,None,None,None,None,None,3.0285849999999996,101.70786700000001
Upm,MRT,None,mrt,transportation,MRT Sungai Buloh-Serdang-Putrajaya Line,,2022,None,None,None,None,None,3.008492,101.705127
Sekolah Menengah Kebangsaan USJ 12,Secondary,['SM Kebangsaan'],cluster,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.044247,101.574337
Sekolah Kebangsaan USJ 12,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.042831,101.57413199999999
Sekolah Menengah Kebangsaan USJ 13,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.037371,101.580663
Sam Bestari,Secondary,['SM agama'],cluster,education,None,,None,Public School,None,None,['SM agama'],None,3.055227,101.580984
Sekolah Menengah Kebangsaan USJ 4,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.054945,101.575702
Sekolah Kebangsaan Seri Selangor,Primary,['Kebangsaan'],cluster,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.05597,101.575827
Sekolah Menengah Kebangsaan USJ 8,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.0453900000000003,101.591915
Sekolah Kebangsaan Seafield 3,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.043786,101.591931
Sekolah Kebangsaan Seafield,Primary,['Kebangsaan'],cluster,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.055743,101.588553
Sekolah Kebangsaan Dato' Onn Jaafar,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.036987,101.589455
Fairview International School - Subang Jaya Campus,Primary Secondary,None,primary,education,None,,None,International School,None,None,None,International Baccalaureate (IB),3.0447153,101.56664079999999
