,project_id,date,property_type,tenure,area_sqft,non_landed,bedrooms,street_name,psf,price,planning_region
100,28340,1577145600,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/12 BANDAR SERENIA,406,611888,Dengkil
101,28340,1577145600,Terrace House,Leasehold,1668,0,3.0,JALAN AMAN SERENIA 2/2 BANDAR SERENIA,393,655888,Dengkil
102,28340,1577059200,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/12 BANDAR SERENIA,406,611888,Dengkil
103,28340,1576281600,Terrace House,Leasehold,2863,0,4.0,JALAN AMAN SERENIA 5/7 BANDAR SERENIA,249,713888,Dengkil
104,28340,1575331200,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,398,599888,Dengkil
105,11518,1576454400,Terrace House,Leasehold,1302,0,4.0,JALAN ECOHILL 1/3B,361,470000,Semenyih
106,11518,1575849600,Semi-Detached House,Leasehold,4715,0,4.0,JALAN ECOHILL 3/1C,271,1280000,Semenyih
107,11518,1575849600,Semi-Detached House,Leasehold,4715,0,4.0,JALAN ECOHILL 3/1B,284,1338000,Semenyih
108,28534,1576713600,Semi-Detached House,Leasehold,3595,0,6.0,JALAN VILLA PERDANA 6,434,1560000,Telok Panglima Garang
109,28534,1576713600,Semi-Detached House,Leasehold,3595,0,6.0,JALAN VILLA PERDANA 6,434,1560000,Telok Panglima Garang
110,28534,1576713600,Semi-Detached House,Leasehold,4047,0,6.0,JALAN VILLA PERDANA 6,402,1625000,Telok Panglima Garang
111,28428,1575244800,Terrace House,Leasehold,1281,0,4.0,JALAN KAJANG-DENGKIL,429,550000,Dengkil
112,28428,1575244800,Terrace House,Leasehold,1281,0,4.0,JALAN KAJANG-DENGKIL,429,550000,Dengkil
113,12792,1576454400,Terrace House,Leasehold,1432,0,3.0,JALAN PUNCAK 1/11,265,380000,Kajang
114,12792,1576454400,Terrace House,Leasehold,1485,0,4.0,JALAN PUNCAK UTAMA 2/3A,340,505000,Kajang
115,11769,1575331200,Detached House,Leasehold,8084,0,5.0,JALAN SS 19/4E,371,3000000,Subang Jaya
116,11769,1575244800,Terrace House,Leasehold,721,0,3.0,JALAN SS 19/6,541,390000,Subang Jaya
117,15193,1575331200,Hotel/Service Apartment,Leasehold,786,1,2.0,JALAN PJU 5/23,617,485000,Kota Damansara
118,15193,1575331200,Hotel/Service Apartment,Leasehold,1453,1,3.0,JALAN PJU 5/23,723,1050000,Kota Damansara
119,23628,1577491200,Semi-Detached House,Leasehold,3197,0,4.0,JALAN IP 28,146,468060,Sepang
120,23628,1577491200,Semi-Detached House,Leasehold,3197,0,3.0,JALAN IP 28,146,468060,Sepang
121,28531,1575417600,Terrace House,Leasehold,1539,0,4.0,JALAN SUNGAI RABA,285,438800,
122,28531,1575417600,Terrace House,Leasehold,1539,0,4.0,JALAN SUNGAI RABA,285,438800,
123,8835,1575244800,Terrace House,Leasehold,1507,0,4.0,JALAN NGAJAT 3/KU5,441,665000,Bandar Bukit Raja
124,14042,1577577600,Terrace House,Leasehold,1647,0,4.0,JALAN ANGKASA,203,335000,Banting
125,8873,1576454400,Terrace House,Leasehold,1302,0,4.0,JALAN BANGI AVENUE 6/10,376,490000,Bangi
126,9233,1576627200,Terrace House,Leasehold,1539,0,4.0,JALAN VISTA 3/1A,450,693000,Cheras South
127,14151,1575936000,Condominium/Apartment,Leasehold,915,1,3.0,PERSIARAN MULTIMEDIA,353,322896,Cyberjaya
128,9435,1576195200,Terrace House,Leasehold,1098,0,3.0,JALAN 2A,209,230000,Denai Alam
129,9470,1575590400,Condominium/Apartment,Leasehold,1044,1,3.0,JALAN PRIMA UTAMA,306,320000,Puchong
130,23964,1576368000,Terrace House,Leasehold,1399,0,4.0,JALAN METAFASA U16/161,493,690000,Shah Alam
131,15080,1576454400,Terrace House,Leasehold,1765,0,4.0,JALAN HILLSIDE ESTATE,283,499000,Ampang
132,9867,1577318400,Flat,Leasehold,646,1,3.0,JALAN PJU 10/1,93,60000,Damansara Damai
133,9886,1576454400,Condominium/Apartment,Leasehold,786,1,3.0,JALAN SASTERA U2/1,286,225000,Taman TTDI Jaya
134,9895,1575244800,Hotel/Service Apartment,Leasehold,1270,1,3.0,JALAN SUBANG 1,394,500000,USJ
135,15724,1576022400,Condominium/Apartment,Leasehold,1152,1,3.0,JALAN SS 7/26,398,458000,Kelana Jaya
136,10167,1575244800,Condominium/Apartment,Leasehold,990,1,3.0,JALAN PUCHONG BATU 13 1/2,384,380000,Bandar Puteri Puchong
137,10919,1576627200,Condominium/Apartment,Leasehold,1012,1,3.0,JALAN MIRAGE 2,902,912800,Cyberjaya
138,10789,1576454400,Condominium/Apartment,Leasehold,1744,1,3.0,JALAN LAGOON TIMUR,459,800000,Bandar Sunway
139,8643,1577318400,Condominium/Apartment,Leasehold,603,1,2.0,JALAN SS 3/39,216,130000,Kelana Jaya
140,14779,1575849600,Hotel/Service Apartment,Leasehold,1023,1,3.0,PERDANA SELATAN,391,400000,Seri Kembangan
141,15892,1576195200,Flat,Leasehold,721,1,3.0,JALAN HENTIAN 5,111,80000,Kajang
142,11310,1575244800,Terrace House,Leasehold,990,0,3.0,JALAN IMPIAN MURNI 3/9,454,450000,Kajang
143,11355,1575331200,Terrace House,Leasehold,1615,0,3.0,JALAN 10/10A,341,550000,Petaling Jaya
144,22714,1576195200,Terrace House,Leasehold,1184,0,3.0,JALAN SUNGAI LONG 32/155,325,385000,Shah Alam
145,17114,1575244800,Town House,Leasehold,1862,0,3.0,JALAN SIERRA 1/3,285,529900,Puchong South
146,13978,1575244800,Terrace House,Leasehold,1647,0,4.0,JALAN SS 20/16,607,1000000,Damansara Utama
147,11773,1575849600,Terrace House,Leasehold,1582,0,3.0,JALAN SS 5A/15,408,645000,Kelana Jaya
148,9072,1577750400,Town House,Leasehold,2131,0,3.0,JALAN PJU 3/30,460,980000,Sunway Damansara
149,12101,1575244800,Terrace House,Leasehold,1227,0,4.0,JALAN BM 1/1,583,715000,Tropicana
150,12610,1575590400,Terrace House,Leasehold,1399,0,3.0,JALAN MERANTI JAYA 1/11,493,690000,Puchong
151,22811,1575331200,Terrace House,Leasehold,1399,0,2.0,JALAN TOMBAK,36,50000,Telok Panglima Garang
152,13999,1575331200,Terrace House,Leasehold,1399,0,3.0,JALAN PINGGIRAN USJ 3/3,189,265000,USJ
153,23571,1575331200,Terrace House,Leasehold,1195,0,3.0,JALAN SD1 1/25,368,440000,Banting
154,13079,1575417600,Terrace House,Leasehold,1399,0,4.0,JALAN TOMAN 6,193,270000,Banting
155,16049,1576454400,Terrace House,Leasehold,840,0,2.0,JALAN TAMAN TANJUNG,119,100000,Tanjong Sepat
156,13218,1575936000,Terrace House,Leasehold,1981,0,3.0,JALAN INDAH 1/28,303,600000,Seri Kembangan
157,15566,1577232000,Terrace House,Leasehold,1399,0,4.0,JALAN 3/10,383,535700,Jenjarom
158,21820,1576195200,Hotel/Service Apartment,Leasehold,484,1,,JALAN SETIA DAGANG AH U13/AH,671,325000,Setia Alam/Alam Nusantara
159,13538,1576454400,Hotel/Service Apartment,Leasehold,624,1,2.0,JALAN SS 20/27,761,475000,Petaling Jaya
160,13580,1576195200,Hotel/Service Apartment,Leasehold,904,1,3.0,JALAN RAYA 2,555,502000,Seri Kembangan
161,13592,1575936000,Terrace House,Leasehold,3337,0,3.0,JALAN USJ 11/7,330,1100000,USJ
162,13600,1575244800,Terrace House,Leasehold,1561,0,3.0,JALAN USJ 2/4E,432,675000,USJ
163,13603,1575763200,Terrace House,Leasehold,2476,0,3.0,JALAN USJ 22/2B,343,850000,USJ
164,13606,1575849600,Terrace House,Leasehold,1195,0,3.0,JALAN USJ 3/4B,619,740000,USJ
165,13632,1576713600,Condominium/Apartment,Leasehold,1539,1,3.0,PERSIARAN PUTERI 1,78,120000,Batu 9th Cheras
