name,sub_type,category,line_name,type,latitude,longitude
Sekolah Kebangsaan Sarikei,primary,education,,Public School,2.1324,111.49961670000002
Sekolah Menengah Kebangsaan Sarikei Baru,secondary,education,,Public School,2.12965,111.504911
Sekolah Kebangsaan Agama Sarikei,primary,education,,Public School,2.129233333,111.50875
Sekolah Jenis Kebangsaan (Cina) Su Lee,primary,education,,Public School,2.121283333,111.50621670000001
Sekolah Kebangsaan Sg Sentebu,primary,education,,Public School,2.11615,111.4944
Sekolah Kebangsaan Abang Haji Matahir,primary,education,,Public School,2.127916667,111.51846670000002
Sekolah Menengah Kebangsaan St Anthony,secondary,education,,Public School,2.1273166669999997,111.52031670000001
Sekolah Kebangsaan Methodist Anglo-Chinese,primary,education,,Public School,2.1296169999999996,111.521217
Sekolah Kebangsaan St Anne,primary,education,,Public School,2.1259666669999997,111.52105
Sekolah Jenis Kebangsaan (Cina) Su Hing,primary,education,,Public School,2.1320959999999998,111.52150900000001
Sekolah Jenis Kebangsaan (Cina) Kwang Chien,primary,education,,Public School,2.13065,111.52323329999999
Sekolah Jenis Kebangsaan (Cina) Su Lok,primary,education,,Public School,2.0987166669999997,111.5037
Sekolah Jenis Kebangsaan (Cina) Wah Man,primary,education,,Public School,2.11,111.53
Sekolah Menengah Kebangsaan Bandar Sarikei,secondary,education,,Public School,2.100683333,111.52578329999999
Sekolah Jenis Kebangsaan (Cina) Su Kwong,primary,education,,Public School,2.09,111.52
Hospital Sarikei,hospital,healthcare,,Government,2.13191,111.49266999999999
Sekolah Kebangsaan Sg Petai,primary,education,,Public School,2.1331290000000003,111.546958
Sekolah Jenis Kebangsaan (Cina) Su Ming,primary,education,,Public School,2.13,111.55
Sekolah Kebangsaan Tanah Putih,primary,education,,Public School,2.1587099999999997,111.55301399999999
Sekolah Menengah Kebangsaan Tinggi Sarikei,cluster,education,,Public School,2.089083333,111.52595
Sekolah Jenis Kebangsaan (Cina) Hua Nam,primary,education,,Public School,2.11083,111.561851
Sekolah Jenis Kebangsaan (Cina) Pengkalan Bukit,primary,education,,Public School,2.13631,102.71306
Sekolah Kebangsaan Kota Raja,primary,education,,Public School,2.1709400000000003,102.71600000000001
Sekolah Jenis Kebangsaan (Tamil) Ladang Lanadron,primary,education,,Public School,2.17178,102.7155
Sekolah Jenis Kebangsaan (Cina) Ai Hwa,primary,education,,Public School,2.17203,102.71207
Sekolah Kebangsaan Panchor,primary,education,,Public School,2.1738029919999997,102.7065468
Klinik Desa Panchor,clinic,healthcare,,Government,2.17213,102.7089
Sekolah Kebangsaan Panjang Sari,primary,education,,Public School,2.11142,102.75542
Sekolah Jenis Kebangsaan (Cina) Soon Mong,primary,education,,Public School,2.1503200000000002,102.76899999999999
Sekolah Jenis Kebangsaan (Cina) Chung Sun,primary,education,,Public School,2.16808,102.75654
Sekolah Kebangsaan Kampong Raja,primary,education,,Public School,2.16932,102.75668
Klinik Desa Panjang Sari,clinic,healthcare,,Government,2.11528,102.76312
Klinik Desa Kampung Raja,clinic,healthcare,,Government,2.16892,102.756693
Sekolah Kebangsaan St Augustine,primary,education,,Public School,2.1631299999999998,111.63977
Sekolah Jenis Kebangsaan (Cina) Ming Tee,primary,education,,Public School,2.1499666669999997,111.66323329999999
Sekolah Menengah Kebangsaan Bandar Bintangor,secondary,education,,Public School,2.165679,111.634398
Sekolah Menengah Kebangsaan Kai Chung,secondary,education,,Public School,2.17,111.64
Sekolah Jenis Kebangsaan (Cina) Kai Chung,primary,education,,Public School,2.17,111.64
Sekolah Kebangsaan Abang Amin,primary,education,,Public School,2.1666667,111.66666670000001
Sekolah Jenis Kebangsaan (Cina) Ming Chiang,primary,education,,Public School,2.1501666669999997,111.62353329999999
Sekolah Kebangsaan Mupong Ulin,primary,education,,Public School,2.15,111.62
Sekolah Kebangsaan Ulu Meradong,primary,education,,Public School,2.119233333,111.64228329999999
Sekolah Jenis Kebangsaan (Cina) Chung Hwa,primary,education,,Public School,2.16255,102.58598
Sekolah Kebangsaan Serom 3,primary,education,,Public School,2.16488,102.5855
Sekolah Jenis Kebangsaan (Cina) Chin Ju,primary,education,,Public School,2.1774,102.60268
Sekolah Jenis Kebangsaan (Cina) Chung Hwa,primary,education,,Public School,2.15062,102.6165
Sekolah Kebangsaan Serom 4,cluster,education,,Public School,2.19901,102.58913000000001
Sekolah Kebangsaan Belemang,primary,education,,Public School,2.1506103619999997,102.6184711
Klinik Desa Serom 3,clinic,healthcare,,Government,2.16263,102.58606
Klinik Desa Serom 2,clinic,healthcare,,Government,2.180542,102.573904
Klinik Desa Tanjung Selabu,clinic,healthcare,,Government,2.14343,102.60353
Klinik Desa Bukit Kangkar,clinic,healthcare,,Government,2.18025,102.55085
Sekolah Jenis Kebangsaan (Cina) Ming Shing,primary,education,,Public School,2.1976,111.63467
Sekolah Kebangsaan Sg Selidap,primary,education,,Public School,2.184034,111.596718
Sekolah Kebangsaan Sg Sian,primary,education,,Public School,2.20622,111.63485
Sekolah Kebangsaan Telok Rimba,primary,education,,Public School,2.17959,102.5155
Klinik Desa Telok Rimba,clinic,healthcare,,Government,2.18079,102.51299999999999
Sekolah Jenis Kebangsaan (Cina) Khay Hian,cluster,education,,Public School,2.18815,102.61868
Sekolah Kebangsaan Serom 6,primary,education,,Public School,2.20243,102.60729
Sekolah Menengah Agama Darul Ulum,secondary,education,,Public School,2.2072582069999998,102.5929323
Sekolah Jenis Kebangsaan (Cina) San Yu,primary,education,,Public School,2.19521,102.63061
Sekolah Kebangsaan Serom 5,primary,education,,Public School,2.21752,102.60639
Klinik Desa Parit Zing,clinic,healthcare,,Government,2.18998,102.62156999999999
Klinik Desa Serom 6,clinic,healthcare,,Government,2.20879,102.60571
Sekolah Kebangsaan Convent Of The Infant Jesus 1,primary,education,,Public School,2.189171,102.256288
Sekolah Menengah Kebangsaan Infant Jesus Convent,cluster,education,,Public School,2.1895700000000002,102.257
Sekolah Kebangsaan Convent Of The Infant Jesus (2),primary,education,,Public School,2.189238,102.25616099999999
Sekolah Jenis Kebangsaan (Cina) Pay Fong 2,primary,education,,Public School,2.19083,102.25964
Sekolah Menengah Kebangsaan Canossa Convent ( M ),secondary,education,,Public School,2.18329,102.26799999999999
Sekolah Kebangsaan Ujong Pasir,primary,education,,Public School,2.1883790000000003,102.26714
EtonHouse International Preschool Melaka,preschool,education,,Preschool,2.189181,102.25241
Sekolah Menengah Kebangsaan Tinggi Melaka,cluster,education,,Public School,2.191775,102.254654
Sekolah Menengah Kebangsaan St Francis,secondary,education,,Public School,2.191186,102.252913
Sekolah Kebangsaan St Francis,primary,education,,Public School,2.192536,102.253757
Sekolah Kebangsaan Bandar Hilir,primary,education,,Public School,2.1914599999999997,102.25235500000001
Sekolah Kebangsaan Sacred Heart,primary,education,,Public School,2.19171,102.25200000000001
Sekolah Jenis Kebangsaan (Cina) Pay Fong 3,primary,education,,Public School,2.19658,102.256
Sekolah Menengah Kebangsaan Yok Bin,secondary,education,,Public School,2.19683,102.264
Sekolah Menengah Kebangsaan Seri Kota,secondary,education,,Public School,2.198053,102.263378
Sekolah Kebangsaan Seri Bandar,primary,education,,Public School,2.19921,102.26299999999999
Sekolah Kebangsaan Bukit China,primary,education,,Public School,2.203767,102.256119
Sekolah Jenis Kebangsaan (Cina) Pay Teck,primary,education,,Public School,2.199277,102.246175
Sekolah Jenis Kebangsaan (Cina) Siang Lin,primary,education,,Public School,2.204977,102.257272
Sekolah Kebangsaan Pendidikan Khas Melaka,primary,education,,Public School,2.1947099999999997,102.279
Sekolah Jenis Kebangsaan (Cina) Yok Bin,primary,education,,Public School,2.20071,102.24600000000001
Sekolah Kebangsaan (P) Durian Daun,primary,education,,Public School,2.205795,102.256899
Sekolah Kebangsaan Padang Temu,primary,education,,Public School,2.185037,102.283534
Sekolah Kebangsaan Kubu,primary,education,,Public School,2.20148,102.245
Sekolah Jenis Kebangsaan (Cina) Ping Ming,primary,education,,Public School,2.206265,102.253357
Sekolah Kebangsaan Semabok,primary,education,,Public School,2.19564,102.280787
Sekolah Menengah Kebangsaan Tinggi Perempuan,cluster,education,,Public School,2.207757,102.257287
Sekolah Menengah Kebangsaan Padang Temu,secondary,education,,Public School,2.187595,102.284842
Sekolah Jenis Kebangsaan (Tamil) Melaka (Kubu),primary,education,,Public School,2.203817,102.24499200000001
Sekolah Menengah Kebangsaan Durian Daun,secondary,education,,Public School,2.20912,102.257423
Sekolah Menengah Kebangsaan Tun Tijah,secondary,education,,Public School,2.20981,102.258
Sekolah Menengah Kebangsaan Gajah Berang,secondary,education,,Public School,2.202889,102.240914
Sekolah Jenis Kebangsaan (Cina) Katholik,primary,education,,Public School,2.206713,102.242405
Sekolah Menengah Teknik Bukit Piatu,secondary,education,,Public School,2.20906,102.274
Sekolah Menengah Kebangsaan Katholik,secondary,education,,Public School,2.20666,102.242
Sekolah Jenis Kebangsaan (Cina) Chung Kuo,primary,education,,Public School,2.20296,102.238
Sekolah Jenis Kebangsaan (Cina) Notre Dame,primary,education,,Public School,2.20725,102.242
Sekolah Menengah Kebangsaan Notre Dame Convent,secondary,education,,Public School,2.2075099999999996,102.242
Sekolah Jenis Kebangsaan (Cina) Yu Ying,primary,education,,Public School,2.20309,102.28299999999999
Malacca Expatriate School - Secondary School,secondary,education,,International School,2.18276,102.29174300000001
Sekolah Menengah Kebangsaan Methodist (Acs) Melaka ( M ),secondary,education,,Public School,2.204913,102.236767
Sekolah Kebangsaan Methodist Acs,primary,education,,Public School,2.204661,102.23617
Sekolah Kebangsaan Bukit Baru,primary,education,,Public School,2.2115,102.27600000000001
Sekolah Kebangsaan (P) Methodist 2,primary,education,,Public School,2.2040610000000003,102.23429200000001
Sekolah Kebangsaan (P) Methodist 1,primary,education,,Public School,2.2042029999999997,102.233866
Sekolah Menengah Kebangsaan Perempuan Methodist,secondary,education,,Public School,2.20572,102.235
Sekolah Jenis Kebangsaan (Cina) Keh Seng,primary,education,,Public School,2.216948,102.269533
Sekolah Kebangsaan Peringgit,primary,education,,Public School,2.219005,102.2557
Sekolah Menengah Kebangsaan Tun Tuah,secondary,education,,Public School,2.211986,102.236496
Melaka International School,primary,education,,International School,2.206433,102.229512
Sekolah Kebangsaan Duyong,primary,education,,Public School,2.1991099999999997,102.29535200000001
Sekolah Kebangsaan Tengkera Dua,primary,education,,Public School,2.2049,102.227
Sekolah Kebangsaan Tengkera 1,primary,education,,Public School,2.20518,102.227
Sekolah Menengah Kebangsaan Tinggi St David,secondary,education,,Public School,2.22106,102.27600000000001
MMMC - Melaka Manipal Medical College,tertiary,education,,Private College,2.225478,102.267629
Sekolah Kebangsaan Bachang,primary,education,,Public School,2.220442,102.237989
Sekolah Menengah Kebangsaan Tinggi Cina Melaka,secondary,education,,Public School,2.220425,102.236739
Oriental Melaka Straits Medical Centre,hospital,healthcare,,Private,2.2021636000000004,102.2525186
Damai Medical And Heart Clinic Sdn. Bhd,hospital,healthcare,,Private,2.1996785,102.24198050000001
Klinik Desa Semabok,clinic,healthcare,,Government,2.20268,102.28313
Klinik Desa Bukit Piatu,clinic,healthcare,,Government,2.21409,102.27575999999999
Hospital Melaka,hospital,healthcare,,Government,2.218645,102.260403
Sekolah Kebangsaan Bendahara Seri Maharaja,primary,education,,Public School,2.1911509999999996,102.306556
Sekolah Kebangsaan Alai,primary,education,,Public School,2.177109,102.308065
Sekolah Kebangsaan Seri Duyong,primary,education,,Public School,2.20269,102.306
Sekolah Kebangsaan Jln Datuk Palembang,cluster,education,,Public School,2.226347,102.27842700000001
Sekolah Jenis Kebangsaan (Cina) Yu Hwa,primary,education,,Public School,2.22645,102.245
Klinik Desa Bachang,clinic,healthcare,,Government,2.2256,102.24143000000001
Sekolah Jenis Kebangsaan (Cina) Bachang,primary,education,,Public School,2.220566,102.232321
Sekolah Jenis Kebangsaan (Tamil) Jalan Setesyen Paloh,primary,education,,Public School,2.18547,103.19824
Sekolah Jenis Kebangsaan (Cina) Paloh,primary,education,,Public School,2.19421,103.19538
Sekolah Kebangsaan Bandar Paloh,primary,education,,Public School,2.193494871,103.1920481
Sekolah Menengah Kebangsaan Seri Kota Paloh,secondary,education,,Public School,2.1984426,103.2017684
Sekolah Kebangsaan Paloh (2),primary,education,,Public School,2.194985086,103.19235379999999
Sekolah Menengah Kebangsaan Paloh,secondary,education,,Public School,2.195322796,103.1920588
Sekolah Jenis Kebangsaan (Cina) Yu Ming,primary,education,,Public School,2.179675471,103.1824511
Sekolah Jenis Kebangsaan (Cina) Sentral Paloh,primary,education,,Public School,2.1758599999999997,103.22312
Sekolah Kebangsaan Kampong Chamek,primary,education,,Public School,2.1526206,103.22833840000001
Klinik Kesihatan Paloh,clinic,healthcare,,Government,2.187405,103.19559100000001
Sekolah Kebangsaan Limbongan,primary,education,,Public School,2.207937,102.220811
Sekolah Menengah Kebangsaan Agama Sultan Muhammad,cluster,education,,Public School,2.23405,102.26299999999999
Sekolah Jenis Kebangsaan (Cina) Lih Jen,primary,education,,Public School,2.21469,102.219
Sekolah Kebangsaan Batu Berendam 2,primary,education,,Public School,2.244064,102.258115
Sekolah Jenis Kebangsaan (Cina) Malim,primary,education,,Public School,2.2377700000000003,102.225
Sekolah Kebangsaan Batu Berendam,primary,education,,Public School,2.2488799999999998,102.254712
Sekolah Jenis Kebangsaan (Cina) Wen Hua,primary,education,,Public School,2.24899,102.256
Sekolah Kebangsaan Bukit Beruang,primary,education,,Public School,2.24012,102.279
Klinik Desa Kampong Padang,clinic,healthcare,,Government,2.2208,102.22029
Pantai Hospital Ayer Keroh,hospital,healthcare,,Private,2.2082482000000003,102.21395
Klinik Desa Batu Berendam,clinic,healthcare,,Government,2.24962,102.25208
Sekolah Kebangsaan Kelebang Besar,primary,education,,Public School,2.222568,102.204897
Sekolah Jenis Kebangsaan (Cina) Ting Hwa,primary,education,,Public School,2.2421,102.213
Sekolah Kebangsaan Malim,primary,education,,Public School,2.250537,102.223883
Sekolah Jenis Kebangsaan (Cina) Kahang,primary,education,,Public School,2.2143,103.54298
Sekolah Menengah Kebangsaan Kahang,secondary,education,,Public School,2.222371537,103.546097
Sekolah Jenis Kebangsaan (Tamil) Kahang Batu 24,primary,education,,Public School,2.22758,103.55829
Klinik Kesihatan Kahang Batu 22,clinic,healthcare,,Government,2.2158700000000002,103.54075
Sekolah Menengah Kebangsaan Klebang Besar,secondary,education,,Public School,2.224793,102.188997
Sekolah Rendah Arab Batang Tiga Timur,primary,education,,Public School,2.226995,102.187089
Malacca Expatriate School - Primary School,primary,education,,International School,2.2269490000000003,102.186837
Sekolah Jenis Kebangsaan (Cina) Ek Te,primary,education,,Public School,2.22217,102.173375
Sekolah Kebangsaan Bukit Rambai,primary,education,,Public School,2.24752,102.19200000000001
Sekolah Menengah Kebangsaan Malim,secondary,education,,Public School,2.2516439999999998,102.22454499999999
Sekolah Kebangsaan Lereh,primary,education,,Public School,2.221524,102.169625
Melaka Airport,airport,transportation,,Domestic,2.255507,102.248665
Sekolah Jenis Kebangsaan (Cina) Bukit Beruang,cluster,education,,Public School,2.24167,102.28
Sekolah Kebangsaan Dato Demang Hussin,primary,education,,Public School,2.226537,102.29969
Sekolah Menengah Kebangsaan Bukit Baru,secondary,education,,Public School,2.24051,102.286
Sekolah Kebangsaan Ayer Keroh,primary,education,,Public School,2.2410509999999997,102.28862099999999
Sekolah Menengah Sains Muzaffar Shah,secondary,education,,Public School,2.244409,102.28707800000001
Kolej Vokasional Melaka Tengah,secondary,education,,Public School,2.235344,102.30013100000001
Sekolah Menengah Kebangsaan Bukit Katil,secondary,education,,Public School,2.2284,102.309
Sekolah Kebangsaan Ayer Molek,primary,education,,Public School,2.2049,102.316
Sekolah Kebangsaan Kampung Tun Razak,primary,education,,Public School,2.242808,102.31042099999999
Sekolah Menengah Kebangsaan Munshi Abdullah,secondary,education,,Public School,2.254845,102.25541899999999
Sekolah Menengah Kebangsaan Tun Mutahir,secondary,education,,Public School,2.255666,102.256788
Sekolah Rendah Arab Jaim Tun Razak,primary,education,,Public School,2.247473,102.308375
Klinik Desa Bukit Katil,clinic,healthcare,,Government,2.2245,102.29975
Sekolah Jenis Kebangsaan (Cina) Ying Chye,primary,education,,Public School,2.253001,102.181007
Sekolah Menengah Kebangsaan Kampung Gelam,secondary,education,,Public School,2.23389,102.15899999999999
Sekolah Kebangsaan Cheng,primary,education,,Public School,2.260514,102.224581
Sekolah Kebangsaan Kampong Gelam,primary,education,,Public School,2.23717,102.16
Sekolah Menengah Kebangsaan Seri Tanjung,secondary,education,,Public School,2.24335,102.15700000000001
Sekolah Menengah Kebangsaan Bukit Rambai,secondary,education,,Public School,2.25808,102.17299999999999
Sekolah Kebangsaan Taman Bukit Rambai,primary,education,,Public School,2.257647,102.17049
Sekolah Jenis Kebangsaan (Cina) Poh Lan,primary,education,,Public School,2.2488900000000003,102.155
Klinik Desa Pantai Kundor,clinic,healthcare,,Government,2.22758,102.14964
Klinik Desa Tangga Batu,clinic,healthcare,,Government,2.25359,102.15167
Sekolah Kebangsaan Pantai Kundor,primary,education,,Public School,2.25287,102.139
Sekolah Kebangsaan Tangga Batu,primary,education,,Public School,2.2629330000000003,102.148486
Sekolah Jenis Kebangsaan (Cina) St Mary,primary,education,,Public School,2.269407,102.165986
Sekolah Menengah Kebangsaan Seri Bali,secondary,education,,Public School,2.234847776,103.0421287
Sekolah Jenis Kebangsaan (Cina) Cha'Ah,primary,education,,Public School,2.250280107,103.0436951
Sekolah Kebangsaan Seri Bali,primary,education,,Public School,2.24957255,103.03874909999999
Sekolah Menengah Kebangsaan Chaah,secondary,education,,Public School,2.249470704,103.0371183
Sekolah Jenis Kebangsaan (Tamil) Cantuman Chaah,primary,education,,Public School,2.253673161,103.0429333
Sekolah Kebangsaan Desa Temu Jodoh,primary,education,,Public School,2.193787018,103.0390066
Klinik Kesihatan Chaah,clinic,healthcare,,Government,2.24736,103.04128
Klinik Desa Temu Jodoh,clinic,healthcare,,Government,2.1891700000000003,103.03834
Sekolah Jenis Kebangsaan (Cina) Ayer Keroh,primary,education,,Public School,2.26474,102.28399999999999
Sekolah Kebangsaan Tun Syed Ahmad Shahabudin,primary,education,,Public School,2.2766900000000003,102.28
"Brainy Bunch -  Ayer Keroh, Melaka",elementary,education,,Preschool,2.276456,102.284504
Sekolah Jenis Kebangsaan (Cina) Cheng,primary,education,,Public School,2.26383,102.21600000000001
Sekolah Kebangsaan Tanjung Minyak,primary,education,,Public School,2.26666,102.215
Sekolah Menengah Kebangsaan Tun Haji Abd Malek,secondary,education,,Public School,2.26638,102.213
Sekolah Kebangsaan Tanjung Minyak 2,primary,education,,Public School,2.268481,102.194046
Sekolah Jenis Kebangsaan (Cina) Chabau,primary,education,,Public School,2.278095,102.249059
PIC - Putra International College,tertiary,education,,Private College,2.2722,102.301627
Sekolah Menengah Kebangsaan Ayer Keroh,secondary,education,,Public School,2.280079,102.282484
KYS Business School (KYSB),tertiary,education,,Private College,2.283114,102.305809
Sekolah Jenis Kebangsaan (Cina) Thai Kwang,primary,education,,Public School,2.241583333,111.84851670000002
Sekolah Kebangsaan Sedc,primary,education,,Public School,2.252233333,111.85271670000002
Sekolah Menengah Kebangsaan Lanang,secondary,education,,Public School,2.25115,111.8557
Sekolah Jenis Kebangsaan (Cina) Chung Ung,primary,education,,Public School,2.2509419999999998,111.85862
Sekolah Jenis Kebangsaan (Cina) Nang Kiang,primary,education,,Public School,2.2427778,111.83055559999998
Sekolah Kebangsaan Nanga Assan,primary,education,,Public School,2.2344162999999995,111.8324304
Sekolah Jenis Kebangsaan (Cina) Kiew Nang,primary,education,,Public School,2.2536598,111.8641636
Sekolah Menengah Kebangsaan Bukit Lima,secondary,education,,Public School,2.269916667,111.85468329999999
Sekolah Menengah Kebangsaan Chung Hua,secondary,education,,Public School,2.271183333,111.84493329999998
Sekolah Kebangsaan Sibu Bandaran No 2,primary,education,,Public School,2.27495,111.84395
Sekolah Jenis Kebangsaan (Cina) Kwong Kok,primary,education,,Public School,2.248637,111.87858600000001
Sekolah Kebangsaan Sentosa Sibu,primary,education,,Public School,2.270433333,111.8652667
Sekolah Kebangsaan Tanjung Latap,primary,education,,Public School,2.2267,111.87883059999999
Sekolah Jenis Kebangsaan (Cina) Ek Thei,primary,education,,Public School,2.280333333,111.84408329999998
Sekolah Jenis Kebangsaan (Cina) Yong Shing,primary,education,,Public School,2.28157,111.844897
Sekolah Kebangsaan Kpg Banyok,primary,education,,Public School,2.264311,111.813226
Sekolah Menengah Kebangsaan Bukit Assek,secondary,education,,Public School,2.2747666669999997,111.8742
Sekolah Jenis Kebangsaan (Cina) Chung Sing,primary,education,,Public School,2.285,111.84353329999999
Sekolah Menengah Kebangsaan Kwong Hua Middle,secondary,education,,Public School,2.2444159,111.8031541
Sekolah Kebangsaan Ng Salim,primary,education,,Public School,2.236775,111.891554
Sekolah Kebangsaan Sg Salim,primary,education,,Public School,2.236775,111.891554
Sekolah Jenis Kebangsaan (Cina) Thian Hua,primary,education,,Public School,2.24,111.97
Sekolah Kebangsaan Sibu Jaya,primary,education,,Public School,2.23901,111.96596100000001
Sekolah Menengah Kebangsaan Sibu Jaya,secondary,education,,Public School,2.244027777,111.96
Sekolah Kebangsaan Batu 15,primary,education,,Public School,2.285376,111.990017
Sibu Airport,airport,transportation,,Domestic,2.2564404,111.98450530000001
Sekolah Jenis Kebangsaan (Cina) Sang Ming,primary,education,,Public School,2.2860028,112.0
Sekolah Kebangsaan Gangsa,primary,education,,Public School,2.283771996,102.2592361
Sekolah Jenis Kebangsaan (Cina) Sacred Heart Chinese,primary,education,,Public School,2.286517,111.83418300000001
Sekolah Jenis Kebangsaan (Cina) Uk Daik,primary,education,,Public School,2.287066667,111.8351
Sekolah Kebangsaan Ulu Durin Kiba,primary,education,,Public School,2.286882,111.83387900000001
Sekolah Kebangsaan St Rita,primary,education,,Public School,2.287316667,111.83256670000002
Sekolah Jenis Kebangsaan (Cina) Hang Kwong,primary,education,,Public School,2.287493,111.832959
Sekolah Menengah Kebangsaan Sungai Merah,secondary,education,,Public School,2.2882778,111.83119440000002
Sekolah Jenis Kebangsaan (Cina) Chung Hua,primary,education,,Public School,2.289733333,111.8268
Sekolah Jenis Kebangsaan (Cina) Methodist,cluster,education,,Public School,2.289367,111.82573300000001
Sekolah Jenis Kebangsaan (Cina) Hing Ung,primary,education,,Public School,2.293899,111.853094
Sekolah Kebangsaan Sacred Heart,primary,education,,Public School,2.2963166669999997,111.84241670000002
Sekolah Menengah Kebangsaan Sacred Heart,secondary,education,,Public School,2.296433333,111.8417
Sekolah Menengah Kebangsaan St Elizabeth,secondary,education,,Public School,2.297616667,111.84528329999999
Sekolah Jenis Kebangsaan (Cina) Kwong Hua,primary,education,,Public School,2.248337,111.79901000000001
Sekolah Menengah Kebangsaan Methodist,cluster,education,,Public School,2.295066667,111.82648329999999
Rejang Medical Centre,hospital,healthcare,,Private,2.292481,111.8368711
Sekolah Jenis Kebangsaan (Tamil) Jalan Sialang,primary,education,,Public School,2.26759,102.53628
Sekolah Menengah Agama Lughatil Arabiah,secondary,education,,Public School,2.26827178,102.53564509999998
Sekolah Menengah Kebangsaan Ledang,secondary,education,,Public School,2.27077,102.52644000000001
Sekolah Kebangsaan Bandar Tangkak,primary,education,,Public School,2.26982,102.53785
Sekolah Kebangsaan Ledang,primary,education,,Public School,2.271788076,102.5286305
Sekolah Jenis Kebangsaan (Cina) Chi Ming 1,primary,education,,Public School,2.272576026,102.5351147
Sekolah Kebangsaan Sri Tangkak,primary,education,,Public School,2.27188456,102.5423098
Sekolah Jenis Kebangsaan (Cina) Chi Ming (2),primary,education,,Public School,2.271959603,102.5430554
Sekolah Kebangsaan Seri Ma'Amor,primary,education,,Public School,2.251365564,102.5101769
Sekolah Kebangsaan Sialang,primary,education,,Public School,2.28203,102.51903
Sekolah Menengah Kebangsaan Tun Mamat,secondary,education,,Public School,2.27902,102.54778
Sekolah Kebangsaan Bukit Banjar,primary,education,,Public School,2.2520599999999997,102.56170999999999
Sekolah Kebangsaan Paya Mas,primary,education,,Public School,2.28435,102.55251
Sekolah Jenis Kebangsaan (Tamil) Ladang Tanah Merah,primary,education,,Public School,2.28099,102.56456999999999
Sekolah Menengah Kebangsaan Seri Tangkak,secondary,education,,Public School,2.286809,102.561699
Klinik Desa Sri Makmor,clinic,healthcare,,Government,2.25685,102.5271
Hospital Tangkak,hospital,healthcare,,Government,2.271817,102.54718199999999
Klinik Kesihatan Payamas,clinic,healthcare,,Government,2.27507,102.54559
Klinik Desa Sialang,clinic,healthcare,,Government,2.2844860000000002,102.51773
Hospital Sibu,hospital,healthcare,,Government,2.297191,111.89214399999999
Sekolah Kebangsaan Perbandaran Sibu No. 4,primary,education,,Public School,2.2998830000000003,111.83983300000001
Sekolah Jenis Kebangsaan (Cina) Sam Lam,primary,education,,Public School,2.3,111.83
Sekolah Jenis Kebangsaan (Cina) Sing Ming,primary,education,,Public School,2.3052189999999997,111.84133500000002
Sekolah Kebangsaan Abang Ali,primary,education,,Public School,2.298266667,111.81951670000001
Sekolah Jenis Kebangsaan (Cina) Dung Sang,primary,education,,Public School,2.3066166669999997,111.85186670000002
Sekolah Kebangsaan St. Mary,primary,education,,Public School,2.3003669999999996,111.82085
Sekolah Menengah Kebangsaan Deshon,secondary,education,,Public School,2.3079333330000003,111.84978329999998
Sibu Specialist Medical Centre,hospital,healthcare,,Private,2.3008330000000004,111.8321481
Sekolah Kebangsaan Tehel,primary,education,,Public School,2.23999,102.34200000000001
Sekolah Kebangsaan Chohong,primary,education,,Public School,2.29579,102.50399999999999
Sekolah Menengah Kebangsaan Durian Tunggal,secondary,education,,Public School,2.307311284,102.2777854
Sekolah Kebangsaan Kerubong,primary,education,,Public School,2.299454,102.254192
Sekolah Jenis Kebangsaan (Cina) Sin Wah,primary,education,,Public School,2.311274965,102.281966
Universiti Teknikal Malaysia Melaka (Utem),tertiary,education,,Public University,2.312369,102.28191899999999
Klinik Desa Krubong,clinic,healthcare,,Government,2.29698,102.25151
Sekolah Kebangsaan Chinchin,primary,education,,Public School,2.28741,102.488
Klinik Desa Chin Chin,clinic,healthcare,,Government,2.28786,102.487872
Sekolah Jenis Kebangsaan (Cina) Pay Hsien,primary,education,,Public School,2.28697,102.486
Sekolah Menengah Kebangsaan Rosli Dhoby,secondary,education,,Public School,2.31325,111.85663329999998
Sekolah Jenis Kebangsaan (Cina) Yuk Chai,primary,education,,Public School,2.3100330000000002,111.8400412
Kolej Vokasional Sibu,secondary,education,,Public School,2.313432,111.856131
Sekolah Jenis Kebangsaan (Cina) Taman Rajang,primary,education,,Public School,2.30885,111.83715
Sekolah Jenis Kebangsaan (Cina) Tung Hua,primary,education,,Public School,2.3090669999999998,111.83128300000001
Sekolah Menengah Kebangsaan Tung Hua,secondary,education,,Public School,2.30965,111.83026670000001
Sekolah Jenis Kebangsaan (Cina) Su Lai,primary,education,,Public School,2.3199333330000003,111.84745
Sekolah Menengah Kebangsaan Kampung Nangka,secondary,education,,Public School,2.318083333,111.83515
Sekolah Kebangsaan Jalan Deshon,primary,education,,Public School,2.322766667,111.84903329999999
Sekolah Menengah Kebangsaan Bandar Sibu,secondary,education,,Public School,2.3235666669999997,111.8526333
Sekolah Jenis Kebangsaan (Cina) Guong Ann,primary,education,,Public School,2.320966667,111.8376333
Sekolah Kebangsaan Sibu Bandaran No 3,primary,education,,Public School,2.3135,111.82456670000002
Sekolah Kebangsaan Pendidikan Khas Sibu,primary,education,,Public School,2.314283333,111.8249
Sekolah Kebangsaan Hua Hin English,primary,education,,Public School,2.32675,111.83823329999998
Sekolah Menengah Kebangsaan Tiong Hin,secondary,education,,Public School,2.3289,111.83866670000002
Sekolah Jenis Kebangsaan (Cina) Tiong Hin,primary,education,,Public School,2.332383333,111.84305
